INPUT_TABLE
Variable ID
GHGLink_start

"region","linked-ghg-policy","price-adjust-year","price-adjust","demand-adjust-year","demand-adjust","market","linked-policy","price-unit","output-unit"
"China","HFC227ea",2035,0,2035,3.22,"China","GHG","1990$/GgHFC227ea","GgHFC227ea"
"China","HFC23",2035,0,2035,14.8,"China","GHG","1990$/GgHFC23","GgHFC23"
"China","HFC236fa",2035,0,2035,9.81,"China","GHG","1990$/GgHFC23fa","GgHFC23fa"
"China","HFC32",2035,0,2035,0.675,"China","GHG","1990$/GgHFC32","GgHFC32"
"China","HFC365mfc",2035,0,2035,0.794,"China","GHG","1990$/GgHFC365mfc","GgHFC365mfc"
"Colombia","CO2",2020,1,2020,3.666666667,"Colombia","GHG","1990$/tC","MTC"
"Colombia","CH4",2020,0,2020,25,"Colombia","GHG","1990$/tCH4","TgCH4"
"Colombia","N2O",2020,0,2020,298,"Colombia","GHG","1990$/tN2O","TgN2O"
"Colombia","C2F6",2020,0,2020,12.2,"Colombia","GHG","1990$/tC2F6","GgC2F6"
"Colombia","CF4",2020,0,2020,7.39,"Colombia","GHG","1990$/tCF4","GgCF4"
"Colombia","HFC125",2020,0,2020,3.5,"Colombia","GHG","1990$/GgHFC125","GgHFC125"
"Colombia","HFC134a",2020,0,2020,1.43,"Colombia","GHG","1990$/GgHFC134a","GgHFC134a"
"Colombia","HFC245fa",2020,0,2020,1.03,"Colombia","GHG","1990$/GgHFC245fa","GgHFC245fa"
"Colombia","SF6",2020,0,2020,22.8,"Colombia","GHG","1990$/tSF6","GgSF6"
"Colombia","CH4_AWB",2020,0,2020,25,"Colombia","GHG","1990$/tCH4","TgCH4"
"Colombia","CH4_AGR",2020,0,2020,25,"Colombia","GHG","1990$/tCH4","TgCH4"
"Colombia","N2O_AWB",2020,0,2020,298,"Colombia","GHG","1990$/tN2O","TgN2O"
"Colombia","N2O_AGR",2020,0,2020,298,"Colombia","GHG","1990$/tN2O","TgN2O"
